Format Version,1.1,Take Name,Take 2021-09-15 03.19.26 PM,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2021-09-15 03.19.26.638 PM,Total Frames,4065,Rotation Type,Quaternion

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Marker_2,Marker_2,Marker_2,Marker_1,Marker_1,Marker_1,Marker_3,Marker_3,Marker_3
,,"8392B20CF49E35702804","8392B20CF49E35702804","8392B20CF49E35702804","8392B20CF49E35702806","8392B20CF49E35702806","8392B20CF49E35702806","8392B20CF49E35702811","8392B20CF49E35702811","8392B20CF49E35702811"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.352244,1.025946,1.083501,-0.349951,1.165359,1.054519,-0.326512,0.882982,1.067655
1,0.010000,-0.352294,1.025958,1.083538,-0.350229,1.165394,1.054587,-0.326500,0.883024,1.067749
2,0.020000,-0.352346,1.026004,1.083583,-0.350247,1.165406,1.054600,-0.326474,0.883059,1.067810
3,0.030000,-0.352403,1.026017,1.083607,-0.350358,1.165423,1.054603,-0.326512,0.883089,1.067863
4,0.040000,-0.352483,1.026028,1.083651,-0.350463,1.165439,1.054659,-0.326569,0.883126,1.067907
5,0.050000,-0.352546,1.026061,1.083666,-0.350556,1.165453,1.054641,-0.326687,0.883229,1.068032
6,0.060000,-0.352556,1.026042,1.083688,-0.350639,1.165471,1.054655,-0.326602,0.883179,1.068004
7,0.070000,-0.352634,1.026068,1.083679,-0.350714,1.165468,1.054652,-0.326753,0.883284,1.068110
8,0.080000,-0.352692,1.026069,1.083696,-0.350783,1.165489,1.054679,-0.326775,0.883322,1.068153
9,0.090000,-0.352784,1.026066,1.083700,-0.350844,1.165481,1.054645,-0.326790,0.883313,1.068158
10,0.100000,-0.352892,1.026101,1.083707,-0.350991,1.165512,1.054647,-0.326855,0.883361,1.068218
11,0.110000,-0.352869,1.026083,1.083644,-0.351041,1.165514,1.054625,-0.326838,0.883344,1.068194
12,0.120000,-0.353054,1.026120,1.083685,-0.351156,1.165519,1.054639,-0.326839,0.883371,1.068196
13,0.130000,-0.352994,1.026099,1.083642,-0.351198,1.165532,1.054616,-0.326914,0.883404,1.068222
14,0.140000,-0.353066,1.026113,1.083622,-0.351268,1.165536,1.054614,-0.326770,0.883323,1.068141
15,0.150000,-0.353285,1.026190,1.083628,-0.351303,1.165561,1.054596,-0.326916,0.883447,1.068203
16,0.160000,-0.353359,1.026221,1.083633,-0.351386,1.165602,1.054589,-0.326882,0.883473,1.068185
17,0.170000,-0.353343,1.026237,1.083594,-0.351430,1.165607,1.054574,-0.326772,0.883413,1.068141
18,0.180000,-0.353397,1.026268,1.083574,-0.351455,1.165661,1.054555,-0.326909,0.883575,1.068189
19,0.190000,-0.353420,1.026302,1.083540,-0.351543,1.165663,1.054539,-0.326797,0.883505,1.068126
20,0.200000,-0.353457,1.026343,1.083541,-0.351624,1.165726,1.054535,-0.326959,0.883677,1.068242
21,0.210000,-0.353485,1.026369,1.083531,-0.351703,1.165740,1.054534,-0.326915,0.883721,1.068212
22,0.220000,-0.353523,1.026415,1.083563,-0.351694,1.165792,1.054545,-0.326822,0.883758,1.068195
23,0.230000,-0.353510,1.026441,1.083537,-0.351708,1.165818,1.054517,-0.326810,0.883790,1.068208
24,0.240000,-0.353482,1.026481,1.083515,-0.351698,1.165856,1.054511,-0.326701,0.883762,1.068158
25,0.250000,-0.353581,1.026549,1.083577,-0.351698,1.165898,1.054484,-0.326866,0.883913,1.068236
26,0.260000,-0.353447,1.026589,1.083461,-0.351711,1.165946,1.054446,-0.326880,0.883990,1.068226
27,0.270000,-0.353452,1.026646,1.083455,-0.351678,1.165991,1.054420,-0.326839,0.884032,1.068219
28,0.280000,-0.353530,1.026713,1.083447,-0.351600,1.166070,1.054382,-0.326811,0.884061,1.068153
29,0.290000,-0.353511,1.026768,1.083403,-0.351651,1.166094,1.054367,-0.326766,0.884149,1.068115
30,0.300000,-0.353527,1.026835,1.083382,-0.351610,1.166161,1.054342,-0.326784,0.884213,1.068063
31,0.310000,-0.353562,1.026891,1.083351,-0.351613,1.166210,1.054335,-0.326748,0.884295,1.068061
32,0.320000,-0.353599,1.026963,1.083346,-0.351627,1.166259,1.054313,-0.326686,0.884315,1.068005
33,0.330000,-0.353712,1.027016,1.083377,-0.351625,1.166292,1.054306,-0.326634,0.884337,1.067972
34,0.340000,-0.353647,1.027043,1.083334,-0.351543,1.166322,1.054277,-0.326578,0.884374,1.067941
